ML1,ML3,ML2,ML4,Max,tract
-0.06704368916638614,-0.013955626256043562,-0.1520933789960148,-0.5585333416019982,ML3,6083000302
-0.6390060377913334,0.7726160589086672,-0.7727592518853469,-0.83884603126664,ML3,6083000301
-0.13569737650152075,-0.8098718279560753,-0.37940938132139684,-0.6392516816948822,ML1,6083002006
-0.8296426898278193,-0.39540512657202437,-1.1249074668618166,-0.9091580772111706,ML3,6083002005
-0.6029358037496398,-0.3666620992570811,-0.8567121484263955,-0.8174239500083276,ML3,6083002012
-0.6612958820128417,0.535582257614165,-0.08212388633817795,-0.8545789562705163,ML3,6083001203
1.0084832085958055,1.2443005625104229,0.11683511836221648,-0.28574153647977674,ML3,6083001102
-0.03947867234168558,0.2005912297772696,-0.14225973963622796,-0.4004523124992175,ML3,6083001000
0.009712891947605641,0.44001629094392447,-0.15482531452013007,-0.5243605115405797,ML3,6083000900
1.2805305046558362,-0.9139107506395191,0.813622297701331,-0.08880946586146068,ML1,6083000801
-1.127832808557557,-0.24023055350039485,-1.1786176530515138,-1.0860891755269755,ML3,6083000600
-1.0637534802320092,-0.4799299473320878,-0.9896812997062744,-1.0291896257641933,ML3,6083000400
-0.19171863834076386,-0.40084868918672817,-0.7713567404246894,-0.6748713910134988,ML1,6083003005
-0.3909301764348114,-0.9208503966715756,-0.7773546263541891,-0.7062921813217491,ML1,6083003004
0.34079121581079813,0.35623604303707074,0.08273267280076944,0.10005356179179956,ML3,6083003001
-0.2751268651695965,-0.45902239489178603,-0.739190177971625,-0.4408773664952635,ML1,6083002909
-0.8911175113197812,-1.2045065298854463,-0.6125978214862516,-0.8096734711501382,ML2,6083002907
-0.5157341627870874,-1.0806590764371187,-0.4422264441576187,-0.5427140160694193,ML2,6083002906
-0.6442499941679853,-0.11775417294625966,-0.9472640692433664,-0.92136982979444,ML3,6083000700
-1.1184580377976177,-0.4851986336350692,-1.1291506143191283,-0.8982967073927116,ML3,6083000502
-1.283911782868598,-0.7154406349973178,-1.2227631323729011,-1.05999005552414,ML3,6083000501
-0.5129152984863155,-0.4421535444359243,-0.7480636571086053,-0.7326314130712553,ML3,6083000200
-1.1320792075914659,-0.9228164007716748,-1.1799689340686745,-1.0641489528890855,ML3,6083000103
